Sample#, X-Step size = 1.6631, Y-Step size = 3.2239 ; 
#849, 1194, 67 ; 
#850, 1206, 68 ; 
#851, 1218, 69 ; 
#852, 1231, 70 ; 
#853, 1243, 70 ; 
#854, 1255, 71 ; 
#855, 1268, 72 ; 
#856, 1280, 73 ; 
#857, 1292, 74 ; 
#858, 1305, 75 ; 
#859, 1317, 76 ; 
#860, 1330, 77 ; 
#861, 1342, 78 ; 
#862, 1355, 79 ; 
#863, 1367, 80 ; 
#864, 1380, 81 ; 
#865, 1392, 82 ; 
#866, 1405, 83 ; 
#867, 1417, 84 ; 
#868, 1430, 86 ; 
#869, 1442, 87 ; 
#870, 1455, 88 ; 
#871, 1467, 89 ; 
#872, 1480, 90 ; 
#873, 1492, 91 ; 
#874, 1505, 92 ; 
#875, 1518, 94 ; 
#876, 1530, 95 ; 
#877, 1543, 96 ; 
#878, 1555, 98 ; 
#879, 1568, 99 ; 
#880, 1581, 100 ; 
#881, 1593, 101 ; 
#882, 1606, 102 ; 
#883, 1618, 104 ; 
#884, 1630, 105 ; 
#885, 1643, 106 ; 
#886, 1655, 108 ; 
#887, 1667, 109 ; 
#888, 1680, 110 ; 
#889, 1692, 112 ; 
#890, 1704, 113 ; 
#891, 1717, 115 ; 
#892, 1729, 116 ; 
#893, 1741, 117 ; 
#894, 1753, 119 ; 
#895, 1765, 120 ; 
#896, 1778, 121 ; 
#897, 1790, 123 ; 
#898, 1802, 124 ; 
#899, 1814, 126 ; 
#900, 1826, 127 ; 
#901, 1838, 129 ; 
#902, 1849, 130 ; 
#903, 1861, 132 ; 
#904, 1873, 134 ; 
#905, 1885, 135 ; 
#906, 1896, 137 ; 
#907, 1907, 138 ; 
#908, 1919, 140 ; 
#909, 1930, 142 ; 
#910, 1942, 143 ; 
#911, 1953, 145 ; 
#912, 1964, 147 ; 
#913, 1976, 149 ; 
#914, 1987, 151 ; 
#915, 1998, 153 ; 
#916, 2009, 155 ; 
#917, 2020, 157 ; 
#918, 2031, 159 ; 
#919, 2042, 161 ; 
#920, 2052, 163 ; 
#921, 2063, 165 ; 
#922, 2073, 167 ; 
#923, 2083, 169 ; 
#924, 2094, 171 ; 
#925, 2104, 173 ; 
#926, 2114, 175 ; 
#927, 2124, 177 ; 
#928, 2134, 179 ; 
#929, 2144, 181 ; 
#930, 2154, 183 ; 
#931, 2163, 185 ; 
#932, 2173, 187 ; 
#933, 2183, 190 ; 
#934, 2192, 192 ; 
